,mon,tue,wed,thu,fri,sat
A,ックスフライ-内コp少HEフ,,,肢井好きの了井,,
B,,,,,,
C,,掲げ焼きそば,,,スープ炒飯,林
D,スタミナ炒めn,こく旨メンチn,了チキンステーキジンジャーソース,唐揚げ油汐器ソース,了チキンチーズカッn,業日
丼,発井,了玉井n,キムチ生井An,マーポー電An,チンジャオロースAn,
カレー,銘含ハムカツn,ハンバーグカレーSn,温玉カレーYen,コロッケカレーSan,メンチカレーaan,
その他,,,和牛カルビ井On,,,
